precipi,precipm,datetime
0.00,0.0,"2011-09-07 00:14:00"
0.06,1.5,"2011-09-07 00:24:00"
0.10,2.5,"2011-09-07 00:39:00"
0.10,2.5,"2011-09-07 00:51:00"
0.03,0.8,"2011-09-07 01:51:00"
0.03,0.8,"2011-09-07 02:51:00"
0.04,1.0,"2011-09-07 03:51:00"
0.03,0.8,"2011-09-07 04:51:00"
0.03,0.8,"2011-09-07 05:51:00"
0.02,0.5,"2011-09-07 06:51:00"
0.01,0.3,"2011-09-07 07:19:00"
0.04,1.0,"2011-09-07 07:51:00"
0.01,0.3,"2011-09-07 07:58:00"
0.01,0.3,"2011-09-07 08:26:00"
0.01,0.3,"2011-09-07 08:51:00"
0.01,0.3,"2011-09-07 09:22:00"
0.01,0.3,"2011-09-07 09:51:00"
0.00,0.0,"2011-09-07 10:26:00"
0.00,0.0,"2011-09-07 10:49:00"
0.00,0.0,"2011-09-07 10:51:00"
0.00,0.0,"2011-09-07 12:51:00"
0.02,0.5,"2011-09-07 13:20:00"
0.02,0.5,"2011-09-07 13:47:00"
0.00,0.0,"2011-09-07 13:59:00"
0.01,0.3,"2011-09-07 14:34:00"
0.01,0.3,"2011-09-07 14:51:00"
0.00,0.0,"2011-09-07 15:07:00"
0.01,0.3,"2011-09-07 15:14:00"
0.01,0.3,"2011-09-07 15:24:00"
0.01,0.3,"2011-09-07 15:51:00"
0.00,0.0,"2011-09-07 16:51:00"
0.00,0.0,"2011-09-07 17:51:00"
0.02,0.5,"2011-09-07 18:01:00"
0.02,0.5,"2011-09-07 18:11:00"
0.03,0.8,"2011-09-07 18:18:00"
0.07,1.8,"2011-09-07 18:33:00"
0.07,1.8,"2011-09-07 18:51:00"
0.03,0.8,"2011-09-07 21:35:00"
0.21,5.3,"2011-09-07 21:51:00"
0.00,0.0,"2011-09-07 21:59:00"
0.00,0.0,"2011-09-07 22:51:00"
0.04,1.0,"2011-09-07 23:13:00"
0.25,6.3,"2011-09-07 23:24:00"
0.32,8.1,"2011-09-07 23:31:00"
0.33,8.4,"2011-09-07 23:36:00"
0.34,8.6,"2011-09-07 23:51:00"
0.00,0.0,"2011-09-23 10:51:00"
0.01,0.3,"2011-09-23 11:20:00"
0.05,1.3,"2011-09-23 11:48:00"
0.82,20.8,"2011-09-23 12:51:00"
0.16,4.1,"2011-09-23 13:07:00"
0.18,4.6,"2011-09-23 13:10:00"
0.29,7.4,"2011-09-23 13:21:00"
0.86,21.8,"2011-09-23 13:51:00"
0.58,14.7,"2011-09-23 14:23:00"
0.60,15.2,"2011-09-23 14:33:00"
0.60,15.2,"2011-09-23 14:41:00"
0.61,15.5,"2011-09-23 14:51:00"
0.00,0.0,"2011-09-23 14:56:00"
0.02,0.5,"2011-09-23 15:08:00"
0.04,1.0,"2011-09-23 15:23:00"
0.04,1.0,"2011-09-23 15:31:00"
0.05,1.3,"2011-09-23 15:51:00"
0.01,0.3,"2011-09-23 16:00:00"
0.01,0.3,"2011-09-23 16:51:00"
0.02,0.5,"2011-09-23 17:51:00"
0.01,0.3,"2011-09-23 17:58:00"
0.01,0.3,"2011-09-23 18:08:00"
0.02,0.5,"2011-09-23 18:31:00"
0.02,0.5,"2011-09-23 18:51:00"
0.00,0.0,"2011-09-23 19:08:00"
0.02,0.5,"2011-09-23 19:51:00"
0.04,1.0,"2011-09-23 20:51:00"
0.10,2.5,"2011-09-23 21:48:00"
0.10,2.5,"2011-09-23 21:51:00"
0.01,0.3,"2011-09-23 21:59:00"
0.01,0.3,"2011-09-23 22:51:00"
0.00,0.0,"2011-09-23 23:51:00"
0.00,0.0,"2011-10-29 05:51:00"
0.00,0.0,"2011-10-29 06:51:00"
0.01,0.3,"2011-10-29 07:51:00"
0.01,0.3,"2011-10-29 08:10:00"
0.04,1.0,"2011-10-29 08:51:00"
0.01,0.3,"2011-10-29 09:51:00"
0.06,1.5,"2011-10-29 10:36:00"
0.09,2.3,"2011-10-29 10:47:00"
0.10,2.5,"2011-10-29 10:51:00"
0.06,1.5,"2011-10-29 11:09:00"
0.08,2.0,"2011-10-29 11:17:00"
0.10,2.5,"2011-10-29 11:22:00"
0.14,3.6,"2011-10-29 11:36:00"
0.19,4.8,"2011-10-29 11:51:00"
0.24,6.1,"2011-10-29 12:51:00"
0.19,4.8,"2011-10-29 13:51:00"
0.19,4.8,"2011-10-29 14:51:00"
0.02,0.5,"2011-10-29 15:03:00"
0.13,3.3,"2011-10-29 15:31:00"
0.23,5.8,"2011-10-29 15:51:00"
0.05,1.3,"2011-10-29 16:08:00"
0.14,3.6,"2011-10-29 16:51:00"
0.13,3.3,"2011-10-29 17:51:00"
0.07,1.8,"2011-10-29 18:26:00"
0.12,3.0,"2011-10-29 18:51:00"
0.04,1.0,"2011-10-29 19:10:00"
0.13,3.3,"2011-10-29 19:51:00"
0.00,0.0,"2011-10-29 19:59:00"
0.02,0.5,"2011-10-29 20:14:00"
0.04,1.0,"2011-10-29 20:51:00"
0.01,0.3,"2011-10-29 20:58:00"
0.02,0.5,"2011-10-29 21:06:00"
0.05,1.3,"2011-10-29 21:28:00"
0.07,1.8,"2011-10-29 21:51:00"
0.02,0.5,"2011-10-29 22:26:00"
0.05,1.3,"2011-10-29 22:51:00"
0.06,1.5,"2011-10-29 23:36:00"
0.08,2.0,"2011-10-29 23:51:00"
0.02,0.5,"2011-10-30 00:29:00"
0.03,0.8,"2011-10-30 00:36:00"
0.04,1.0,"2011-10-30 00:51:00"
0.00,0.0,"2011-10-30 01:02:00"
0.00,0.0,"2011-10-30 01:26:00"
0.01,0.3,"2011-10-30 01:51:00"
0.01,0.3,"2011-11-22 03:14:00"
0.01,0.3,"2011-11-22 03:41:00"
0.01,0.3,"2011-11-22 03:51:00"
0.01,0.3,"2011-11-22 04:23:00"
0.03,0.8,"2011-11-22 04:51:00"
0.00,0.0,"2011-11-22 05:04:00"
0.01,0.3,"2011-11-22 05:51:00"
0.00,0.0,"2011-11-22 06:29:00"
0.01,0.3,"2011-11-22 06:51:00"
0.00,0.0,"2011-11-22 14:51:00"
0.08,2.0,"2011-11-22 15:51:00"
0.05,1.3,"2011-11-22 16:23:00"
0.08,2.0,"2011-11-22 16:51:00"
0.03,0.8,"2011-11-22 17:14:00"
0.07,1.8,"2011-11-22 17:51:00"
0.02,0.5,"2011-11-22 18:06:00"
0.06,1.5,"2011-11-22 18:28:00"
0.10,2.5,"2011-11-22 18:51:00"
0.01,0.3,"2011-11-22 18:58:00"
0.06,1.5,"2011-11-22 19:21:00"
0.15,3.8,"2011-11-22 19:51:00"
0.11,2.8,"2011-11-22 20:39:00"
0.15,3.8,"2011-11-22 20:51:00"
0.06,1.5,"2011-11-22 21:04:00"
0.19,4.8,"2011-11-22 21:47:00"
